source	query_id	method	half	ndcg@10	ndcg@100
real_295	1671	e5_hybrid	inferior	0.6309297535714575	0.6309297535714575
real_295	1671	bge_m3_hybrid	inferior	0.6309297535714575	0.6309297535714575
real_295	1677	bm25	inferior	0.6309297535714575	0.6309297535714575
real_295	1677	e5	inferior	0.6309297535714575	0.6309297535714575
real_295	1677	e5_hybrid	inferior	0.6309297535714575	0.6309297535714575
real_295	1677	bge_m3_hybrid	inferior	0.6309297535714575	0.6309297535714575
real_295	2017	bm25	inferior	0.6309297535714575	0.6309297535714575
real_295	2017	e5	inferior	0.6309297535714575	0.6309297535714575
real_295	2017	e5_hybrid	inferior	0.6309297535714575	0.6309297535714575
real_295	2017	bge_m3_hybrid	inferior	0.6309297535714575	0.6309297535714575
real_295	2214	bm25	inferior	0.5	0.5
real_295	2214	e5	inferior	0.5	0.5
real_295	2214	e5_hybrid	inferior	0.5	0.5
real_295	2214	bge_m3_hybrid	inferior	0.5	0.5
real_295	2235	bm25	superior	0.6309297535714575	0.6309297535714575
real_295	2235	e5	superior	0.6309297535714575	0.6309297535714575
real_295	2235	e5_hybrid	superior	0.6309297535714575	0.6309297535714575
real_295	2235	bge_m3_hybrid	superior	0.6309297535714575	0.6309297535714575
real_295	2236	bm25	inferior	1.0	1.0
real_295	2236	e5	inferior	1.0	1.0
real_295	2236	e5_hybrid	inferior	1.0	1.0
real_295	2236	bge_m3_hybrid	inferior	1.0	1.0
real_295	2316	bm25	superior	0.6309297535714575	0.6309297535714575
real_295	2316	e5	superior	0.6309297535714575	0.6309297535714575
real_295	2316	e5_hybrid	superior	0.6309297535714575	0.6309297535714575
real_295	2316	bge_m3_hybrid	superior	0.6309297535714575	0.6309297535714575
real_295	2318	bm25	superior	0.6309297535714575	0.6309297535714575
real_295	2318	e5	superior	0.43067655807339306	0.43067655807339306
real_295	2318	e5_hybrid	superior	0.5	0.5
real_295	2318	bge_m3_hybrid	superior	0.5	0.5
real_295	2398	bm25	superior	0.6309297535714575	0.6309297535714575
real_295	2398	e5	superior	0.6309297535714575	0.6309297535714575
real_295	2398	e5_hybrid	superior	0.6309297535714575	0.6309297535714575
real_295	2398	bge_m3_hybrid	superior	0.6309297535714575	0.6309297535714575
real_295	2399	bm25	superior	0.6309297535714575	0.6309297535714575
real_295	2399	e5	superior	0.6309297535714575	0.6309297535714575
real_295	2399	e5_hybrid	superior	0.6309297535714575	0.6309297535714575
real_295	2399	bge_m3_hybrid	superior	0.6309297535714575	0.6309297535714575
real_295	2477	bm25	superior	0.6309297535714575	0.6309297535714575
real_295	2477	e5	superior	0.6309297535714575	0.6309297535714575
real_295	2477	e5_hybrid	superior	0.6309297535714575	0.6309297535714575
real_295	2477	bge_m3_hybrid	superior	0.6309297535714575	0.6309297535714575
real_295	2616	bm25	inferior	1.0	1.0
real_295	2616	e5	inferior	1.0	1.0
real_295	2616	e5_hybrid	inferior	1.0	1.0
real_295	2616	bge_m3_hybrid	inferior	1.0	1.0
real_295	2694	bm25	superior	0.6309297535714575	0.6309297535714575
real_295	2694	e5	superior	1.0	1.0
real_295	2694	e5_hybrid	superior	0.6309297535714575	0.6309297535714575
real_295	2694	bge_m3_hybrid	superior	0.6309297535714575	0.6309297535714575
real_295	2764	bm25	superior	0.6309297535714575	0.6309297535714575
real_295	2764	e5	superior	0.6309297535714575	0.6309297535714575
real_295	2764	e5_hybrid	superior	0.6309297535714575	0.6309297535714575
