method;half;recall;precision_interpolated
bm25;inferior;0.18455743879472694;0.22614840989399293
bm25;inferior;0.1864406779661017;0.22614840989399293
bm25;inferior;0.18832391713747645;0.22614840989399293
bm25;inferior;0.1902071563088512;0.22614840989399293
bm25;inferior;0.192090395480226;0.22614840989399293
bm25;inferior;0.19397363465160075;0.22614840989399293
bm25;inferior;0.1958568738229755;0.22614840989399293
bm25;inferior;0.1977401129943503;0.22614840989399293
bm25;inferior;0.19962335216572505;0.22614840989399293
bm25;inferior;0.2015065913370998;0.22614840989399293
bm25;inferior;0.2033898305084746;0.22614840989399293
bm25;inferior;0.20527306967984935;0.22614840989399293
bm25;inferior;0.2071563088512241;0.22614840989399293
bm25;inferior;0.20903954802259886;0.22614840989399293
bm25;inferior;0.21092278719397364;0.22614840989399293
bm25;inferior;0.2128060263653484;0.22614840989399293
bm25;inferior;0.21468926553672316;0.22614840989399293
bm25;inferior;0.21657250470809794;0.22614840989399293
bm25;inferior;0.2184557438794727;0.22614840989399293
bm25;inferior;0.22033898305084745;0.22614840989399293
bm25;inferior;0.2222222222222222;0.22614840989399293
bm25;inferior;0.224105461393597;0.22614840989399293
bm25;inferior;0.22598870056497175;0.22614840989399293
bm25;inferior;0.2278719397363465;0.22614840989399293
bm25;inferior;0.23163841807909605;0.22614840989399293
bm25;inferior;0.2335216572504708;0.22614840989399293
bm25;inferior;0.23540489642184556;0.22614840989399293
bm25;inferior;0.23728813559322035;0.22614840989399293
bm25;inferior;0.24105461393596986;0.22614840989399293
bm25;inferior;0.24293785310734464;0.2253968253968254
bm25;inferior;0.2448210922787194;0.2253968253968254
bm25;inferior;0.24670433145009416;0.2253968253968254
bm25;inferior;0.2542372881355932;0.2253968253968254
bm25;inferior;0.256120527306968;0.2253968253968254
bm25;inferior;0.2580037664783427;0.2253968253968254
bm25;inferior;0.2598870056497175;0.2253968253968254
bm25;inferior;0.2674199623352166;0.2253968253968254
bm25;inferior;0.2693032015065913;0.22238805970149253
